school_id,academic_year,grade_level,average_score,attendance_percentage,dropout_risk_flag
SCH_0066,2023,5.0,,86.18,
SCH_0026,2021,5.0,71.2,69.94,1.0
SCH_0100,2020,9.0,,,
SCH_0064,2021,,72.43,99.44,0.0
SCH_0087,2022,2.0,,,
SCH_0011,2020,2.0,,,
SCH_0054,2021,11.0,82.44,81.67,0.0
SCH_0089,2020,,71.8,,
SCH_0064,2022,6.0,,86.16,
SCH_0007,2023,7.0,45.32,88.96,1.0
SCH_0103,2024,4.0,,,
SCH_0026,2021,,64.66,,
SCH_0012,2023,9.0,,89.93,
SCH_0069,2024,8.0,85.33,79.05,0.0
SCH_0086,2023,1.0,64.68,71.5,1.0
SCH_0040,2024,8.0,,,
SCH_0055,2020,2.0,,88.64,
SCH_0001,2024,4.0,,82.33,
SCH_0013,2022,,,,
SCH_0017,2021,11.0,,,
SCH_0120,2019,1.0,73.07,85.83,0.0
SCH_0017,2024,,64.31,78.15,0.0
SCH_0020,2020,7.0,53.82,,
SCH_0098,2023,12.0,43.65,,
SCH_0105,2021,11.0,85.72,,
SCH_0015,2024,12.0,83.25,77.13,0.0
SCH_0013,2022,5.0,83.98,71.68,1.0
SCH_0018,2023,5.0,90.39,68.12,1.0
SCH_0048,2022,6.0,,62.88,
SCH_0015,2020,11.0,64.12,,
SCH_0004,2024,7.0,,,
SCH_0030,2021,10.0,,81.59,
SCH_0068,2020,1.0,,,
SCH_0115,2021,4.0,,,
SCH_0020,2021,2.0,,,
SCH_0067,2021,7.0,,,
SCH_0029,2023,7.0,71.33,67.3,1.0
SCH_0020,2019,10.0,,71.64,
SCH_0027,2024,3.0,,,
SCH_0054,2022,1.0,,,
SCH_0064,2019,6.0,87.01,61.04,1.0
SCH_0020,2023,9.0,,76.71,
SCH_0096,2019,5.0,,80.61,
SCH_0052,2021,11.0,49.13,88.14,1.0
SCH_0036,2024,7.0,51.81,80.17,1.0
SCH_0040,2021,10.0,,,
SCH_0003,2021,1.0,75.87,,
SCH_0025,2022,4.0,44.85,69.92,1.0
SCH_0101,2022,12.0,,61.85,
SCH_0021,2020,10.0,69.82,,
SCH_0042,2024,10.0,79.44,,
SCH_0048,2021,10.0,85.64,87.62,0.0
SCH_0035,2020,1.0,84.16,,
SCH_0090,2022,2.0,,78.18,
SCH_0004,2023,3.0,,,
SCH_0011,2019,2.0,,88.71,
SCH_0021,2024,11.0,55.93,82.44,0.0
SCH_0117,2024,10.0,88.73,78.12,0.0
SCH_0066,2023,9.0,,,
SCH_0108,2019,3.0,88.67,,
SCH_0103,2019,8.0,,,
SCH_0103,2020,11.0,53.22,,
SCH_0087,2020,7.0,54.11,94.5,0.0
SCH_0043,2020,4.0,,99.03,
SCH_0026,2024,4.0,,84.22,
SCH_0013,2023,,,,
SCH_0002,2019,10.0,51.65,82.6,1.0
SCH_0079,2022,10.0,57.67,,
SCH_0104,2023,12.0,87.75,72.78,0.0
SCH_0084,2023,6.0,42.32,77.84,1.0
SCH_0008,2020,7.0,,,
SCH_0079,2020,7.0,42.97,87.56,1.0
SCH_0114,2022,10.0,,65.6,
SCH_0053,2020,10.0,,,
SCH_0099,2023,6.0,55.2,86.86,0.0
SCH_0061,2022,,,68.05,
SCH_0100,2020,12.0,66.86,72.5,0.0
SCH_0046,2021,5.0,,86.42,
SCH_0046,2019,12.0,44.23,87.64,1.0
SCH_0038,2019,10.0,,63.29,
SCH_0084,2023,4.0,64.31,,
SCH_0058,2021,3.0,,64.06,
SCH_0032,2020,3.0,77.57,,
SCH_0022,2023,4.0,87.02,94.18,0.0
SCH_0038,2020,11.0,48.05,90.36,1.0
SCH_0034,2023,4.0,93.71,97.7,0.0
SCH_0071,2021,8.0,74.05,,
SCH_0076,2021,6.0,55.86,88.33,0.0
SCH_0107,2020,5.0,90.1,,
SCH_0095,2021,6.0,70.82,74.67,0.0
SCH_0087,2024,,,,
SCH_0029,2022,9.0,64.42,80.46,0.0
SCH_0051,2022,,,,
SCH_0042,2021,3.0,,94.39,
SCH_0082,2022,12.0,75.9,67.45,1.0
SCH_0070,2023,7.0,59.4,60.31,1.0
SCH_0043,2022,2.0,75.22,,
SCH_0004,2022,9.0,90.26,85.84,0.0
SCH_0017,2020,5.0,67.48,,
SCH_0012,2023,6.0,,65.68,
SCH_0050,2022,12.0,80.7,91.17,0.0
SCH_0020,2019,2.0,93.49,91.42,0.0
SCH_0051,2022,6.0,,62.97,
SCH_0015,2021,11.0,,70.11,
SCH_0058,2019,6.0,,,
SCH_0066,2024,11.0,,,
SCH_0017,2023,,,,
SCH_0040,2021,3.0,92.86,88.38,0.0
SCH_0066,2022,8.0,92.11,81.45,0.0
SCH_0028,2023,11.0,,,
SCH_0043,2019,10.0,69.08,61.89,1.0
SCH_0017,2019,4.0,58.95,,
SCH_0114,2021,3.0,,,
SCH_0038,2023,8.0,,,
SCH_0008,2020,5.0,52.15,,
SCH_0078,2024,12.0,,67.01,
SCH_0055,2023,10.0,,68.41,
SCH_0031,2020,5.0,,77.27,
SCH_0094,2022,9.0,47.67,78.52,1.0
SCH_0005,2024,,,79.82,
SCH_0070,2024,10.0,,,
SCH_0007,2024,8.0,54.62,,
SCH_0057,2021,7.0,,80.1,
SCH_0008,2023,12.0,,61.43,
SCH_0071,2022,2.0,46.78,80.17,1.0
SCH_0095,2022,9.0,52.2,,
SCH_0095,2021,1.0,67.39,89.91,0.0
SCH_0005,2024,,,,
SCH_0093,2020,7.0,,,
SCH_0036,2019,,76.95,93.83,0.0
SCH_0037,2024,2.0,,,
SCH_0004,2024,3.0,,,
SCH_0070,2021,6.0,79.99,,
SCH_0072,2022,4.0,59.46,89.57,0.0
SCH_0110,2023,4.0,,60.82,
SCH_0089,2022,5.0,90.62,,
SCH_0059,2021,12.0,,,
SCH_0117,2023,10.0,87.89,,
SCH_0118,2021,3.0,83.89,70.13,1.0
SCH_0111,2022,1.0,51.54,72.09,1.0
SCH_0088,2022,3.0,43.57,77.11,1.0
SCH_0037,2021,7.0,43.14,98.43,1.0
SCH_0005,2019,7.0,70.98,79.47,0.0
SCH_0069,2022,4.0,64.18,86.14,0.0
SCH_0009,2023,6.0,52.07,,
SCH_0018,2019,3.0,,,
SCH_0103,2019,12.0,,,
SCH_0032,2023,7.0,,91.47,
SCH_0111,2024,2.0,68.07,,
SCH_0020,2022,,54.89,,
SCH_0033,2021,9.0,,94.95,
SCH_0009,2024,7.0,,89.4,
SCH_0039,2024,5.0,,,
SCH_0050,2022,8.0,58.53,,
SCH_0018,2019,5.0,,73.93,
SCH_0084,2020,1.0,60.86,,
SCH_0034,2021,,80.4,88.7,0.0
SCH_0112,2022,5.0,,,
SCH_0030,2021,11.0,,,
SCH_0032,2024,11.0,,78.69,
SCH_0036,2019,7.0,90.92,90.21,0.0
SCH_0098,2023,1.0,,60.11,
SCH_0089,2022,4.0,,90.56,
SCH_0065,2021,9.0,66.83,,
SCH_0047,2021,8.0,,87.99,
SCH_0119,2024,10.0,80.74,,
SCH_0073,2023,4.0,40.8,,
SCH_0068,2023,8.0,,92.81,
SCH_0111,2020,11.0,94.71,73.1,0.0
SCH_0082,2019,5.0,,60.13,
SCH_0044,2024,11.0,,,
SCH_0054,2021,12.0,76.57,,
SCH_0118,2020,11.0,,72.87,
SCH_0084,2024,2.0,,91.49,
SCH_0108,2021,7.0,40.2,,
SCH_0095,2021,7.0,41.59,74.3,1.0
SCH_0116,2022,1.0,,,
SCH_0114,2023,2.0,71.74,66.37,1.0
SCH_0072,2021,7.0,,,
SCH_0006,2019,11.0,,60.55,
SCH_0098,2019,10.0,,67.11,
SCH_0119,2021,9.0,56.26,81.44,0.0
SCH_0009,2024,8.0,58.18,,
SCH_0076,2019,8.0,88.71,72.97,0.0
SCH_0088,2020,2.0,53.42,95.0,0.0
SCH_0082,2019,,80.98,,
SCH_0030,2023,1.0,73.45,,
SCH_0069,2020,12.0,,,
SCH_0073,2021,2.0,76.31,90.02,0.0
SCH_0088,2021,7.0,,76.13,
SCH_0035,2021,3.0,40.39,78.4,1.0
SCH_0103,2024,10.0,,69.91,
SCH_0046,2019,5.0,,95.83,
SCH_0070,2023,5.0,,,
SCH_0100,2021,8.0,,,
SCH_0068,2019,12.0,44.21,85.31,1.0
SCH_0111,2019,12.0,90.8,60.41,1.0
SCH_0051,2024,5.0,54.51,77.77,0.0
SCH_0040,2023,2.0,,75.68,
SCH_0092,2023,1.0,80.18,75.89,0.0
SCH_0097,2022,5.0,,,
SCH_0073,2024,11.0,,60.27,
SCH_0084,2022,7.0,,,
SCH_0026,2020,11.0,45.33,,
SCH_0069,2020,10.0,58.1,81.75,0.0
SCH_0006,2023,5.0,,80.39,
SCH_0047,2021,1.0,,,
SCH_0056,2020,6.0,,,
SCH_0073,2020,11.0,70.91,,
SCH_0031,2021,9.0,92.49,86.64,0.0
SCH_0036,2022,1.0,88.06,,
SCH_0083,2024,5.0,,81.66,
SCH_0057,2024,8.0,,60.64,
SCH_0009,2020,4.0,,,
SCH_0117,2020,8.0,50.8,75.55,1.0
SCH_0080,2020,6.0,41.41,83.62,1.0
SCH_0002,2020,3.0,,95.17,
SCH_0060,2019,10.0,,90.23,
SCH_0098,2020,4.0,,,
SCH_0105,2020,7.0,,,
SCH_0111,2021,1.0,,,
SCH_0095,2022,9.0,,65.12,
SCH_0108,2024,10.0,,,
SCH_0005,2022,9.0,,77.02,
SCH_0090,2022,4.0,44.75,,
SCH_0011,2024,9.0,,84.55,
SCH_0082,2023,11.0,85.68,,
SCH_0025,2021,10.0,76.38,93.53,0.0
SCH_0104,2022,4.0,53.65,92.96,0.0
SCH_0079,2024,,45.44,70.44,1.0
SCH_0095,2023,2.0,,,
SCH_0048,2021,3.0,75.6,64.68,1.0
SCH_0020,2024,12.0,,96.48,
SCH_0041,2019,4.0,40.06,64.41,1.0
SCH_0040,2022,12.0,,83.3,
SCH_0056,2021,2.0,,87.2,
SCH_0078,2021,2.0,46.9,,
SCH_0060,2019,7.0,,88.31,
SCH_0085,2024,1.0,48.06,92.0,1.0
SCH_0056,2022,5.0,76.61,92.21,0.0
SCH_0096,2023,7.0,,,
SCH_0071,2020,2.0,89.99,,
SCH_0074,2020,11.0,68.51,,
SCH_0037,2023,7.0,,72.02,
SCH_0065,2021,4.0,46.54,81.77,1.0
SCH_0014,2021,5.0,,,
SCH_0106,2021,3.0,61.56,85.17,0.0
SCH_0013,2023,5.0,,,
SCH_0004,2024,7.0,,,
SCH_0067,2024,9.0,,,
SCH_0010,2021,3.0,60.05,,
SCH_0106,2022,8.0,,,
SCH_0011,2020,6.0,,,
SCH_0063,2021,2.0,,81.85,
SCH_0088,2022,3.0,,,
SCH_0080,2024,1.0,75.41,70.09,1.0
SCH_0093,2024,7.0,82.36,77.22,0.0
SCH_0106,2023,,,85.15,
SCH_0070,2020,8.0,,,
SCH_0118,2021,7.0,,78.96,
SCH_0099,2021,10.0,,,
SCH_0111,2023,1.0,,,
SCH_0086,2023,7.0,69.1,,
SCH_0054,2024,11.0,,82.76,
SCH_0084,2019,2.0,,97.16,
SCH_0051,2023,1.0,79.59,,
SCH_0076,2024,11.0,84.53,98.46,0.0
SCH_0014,2021,12.0,69.58,95.17,0.0
SCH_0015,2024,,,,
SCH_0067,2019,2.0,,,
SCH_0114,2019,11.0,,,
SCH_0053,2023,,55.25,,
SCH_0007,2022,10.0,84.62,,
SCH_0002,2021,2.0,63.14,,
SCH_0101,2020,1.0,79.07,97.56,0.0
SCH_0113,2022,11.0,,86.21,
SCH_0009,2020,1.0,41.75,79.99,1.0
SCH_0038,2023,11.0,,63.11,
SCH_0039,2019,3.0,,95.7,
SCH_0108,2020,12.0,,,
SCH_0112,2022,10.0,,77.5,
SCH_0114,2023,7.0,62.81,,
SCH_0101,2024,1.0,48.32,,
SCH_0105,2019,10.0,64.43,,
SCH_0052,2021,10.0,,82.92,
SCH_0027,2024,2.0,54.93,89.64,0.0
SCH_0079,2022,5.0,88.85,91.67,0.0
SCH_0111,2020,5.0,70.8,,
SCH_0017,2020,6.0,51.84,91.69,1.0
SCH_0076,2023,10.0,90.43,98.71,0.0
SCH_0106,2020,5.0,,84.14,
SCH_0021,2022,1.0,,62.4,
SCH_0093,2020,10.0,,,
SCH_0113,2023,11.0,52.74,,
SCH_0077,2019,3.0,,99.54,
SCH_0013,2020,1.0,,,
SCH_0008,2019,9.0,47.25,,
SCH_0016,2019,8.0,,,
SCH_0041,2022,8.0,71.48,,
SCH_0028,2023,5.0,,90.24,
SCH_0091,2019,6.0,76.38,,
SCH_0073,2019,3.0,93.49,,
SCH_0079,2022,9.0,44.66,,
SCH_0046,2021,8.0,78.78,,
SCH_0053,2019,6.0,41.77,,
SCH_0099,2023,8.0,,,
SCH_0031,2024,11.0,60.32,,
SCH_0027,2024,11.0,60.31,,
SCH_0107,2019,2.0,,,
SCH_0095,2019,6.0,66.67,61.59,1.0
SCH_0030,2020,10.0,87.06,,
SCH_0050,2020,4.0,,65.04,
SCH_0115,2024,8.0,65.86,,
SCH_0040,2023,,,62.51,
SCH_0047,2021,7.0,,72.69,
SCH_0074,2023,3.0,87.71,,
SCH_0072,2021,3.0,,,
SCH_0093,2022,9.0,42.47,78.23,1.0
SCH_0080,2024,3.0,86.82,,
SCH_0115,2019,9.0,70.89,88.42,0.0
SCH_0066,2021,12.0,74.73,94.86,0.0
SCH_0008,2021,8.0,85.95,,
SCH_0012,2021,2.0,67.18,79.42,0.0
SCH_0025,2023,,70.0,83.79,0.0
SCH_0085,2020,12.0,,,
SCH_0073,2022,8.0,65.18,,
SCH_0040,2022,,,86.56,
SCH_0008,2020,3.0,,64.44,
SCH_0042,2020,,50.64,,
SCH_0028,2020,9.0,58.69,62.91,1.0
SCH_0039,2020,5.0,,,
SCH_0107,2024,4.0,72.89,,
SCH_0009,2023,,,61.64,
SCH_0035,2021,,50.05,90.43,1.0
SCH_0074,2024,12.0,72.43,82.45,0.0
SCH_0061,2023,2.0,,,
SCH_0110,2020,10.0,,,
SCH_0006,2024,5.0,58.88,81.1,0.0
SCH_0054,2023,6.0,,,
SCH_0010,2022,1.0,69.05,88.78,0.0
SCH_0006,2021,10.0,67.75,88.18,0.0
SCH_0002,2021,2.0,83.5,61.96,1.0
SCH_0044,2023,5.0,94.5,,
SCH_0022,2021,11.0,,99.67,
SCH_0105,2021,7.0,,91.63,
SCH_0074,2021,,64.48,91.8,0.0
SCH_0031,2019,8.0,,74.11,
SCH_0083,2024,9.0,78.37,77.5,0.0
SCH_0015,2021,4.0,62.6,69.22,1.0
SCH_0043,2024,6.0,,89.94,
SCH_0081,2023,2.0,81.02,,
SCH_0084,2019,2.0,,74.78,
SCH_0112,2022,8.0,59.68,,
SCH_0065,2020,6.0,,85.13,
SCH_0046,2024,12.0,,,
SCH_0109,2023,6.0,87.7,,
SCH_0120,2021,4.0,,96.41,
SCH_0046,2022,,52.33,,
SCH_0047,2019,3.0,,,
SCH_0056,2024,7.0,,,
SCH_0056,2020,1.0,61.31,,
SCH_0013,2019,1.0,,83.83,
SCH_0066,2023,,66.8,,
SCH_0085,2023,5.0,79.9,84.44,0.0
SCH_0021,2020,12.0,76.36,77.24,0.0
SCH_0013,2023,3.0,67.09,,
SCH_0116,2021,,63.17,74.56,0.0
SCH_0071,2023,3.0,,,
SCH_0035,2023,,,,
SCH_0103,2024,,53.64,,
SCH_0074,2024,9.0,65.84,,
SCH_0077,2020,9.0,90.82,60.04,1.0
SCH_0093,2023,4.0,75.6,,
SCH_0091,2022,9.0,,62.93,
SCH_0073,2022,6.0,,,
SCH_0012,2020,7.0,86.11,79.59,0.0
SCH_0041,2020,6.0,,,
SCH_0075,2022,10.0,51.15,,
SCH_0084,2021,11.0,,69.44,
SCH_0068,2019,8.0,,99.93,
SCH_0045,2024,11.0,,,
SCH_0026,2024,6.0,,,
SCH_0041,2020,12.0,,95.54,
SCH_0102,2022,6.0,,,
SCH_0017,2024,12.0,89.68,,
SCH_0100,2022,4.0,,,
SCH_0069,2020,11.0,,88.32,
SCH_0014,2019,1.0,58.42,62.02,1.0
SCH_0006,2023,2.0,,,
SCH_0090,2021,12.0,,,
SCH_0104,2021,4.0,47.55,73.26,1.0
SCH_0052,2020,3.0,,,
SCH_0088,2019,7.0,,,
SCH_0064,2023,11.0,,97.76,
SCH_0094,2024,7.0,43.49,,
SCH_0028,2023,6.0,,,
SCH_0087,2020,10.0,90.8,71.78,1.0
SCH_0056,2019,,,92.08,
SCH_0089,2024,6.0,88.36,83.61,0.0
SCH_0085,2022,,44.63,,
SCH_0097,2021,2.0,76.42,,
SCH_0104,2024,10.0,49.48,,
SCH_0003,2024,1.0,,,
SCH_0120,2020,8.0,54.06,,
SCH_0054,2022,11.0,90.88,,
SCH_0100,2021,8.0,,,
SCH_0017,2023,5.0,87.92,,
SCH_0002,2019,6.0,53.8,92.02,0.0
SCH_0099,2021,10.0,,96.16,
SCH_0103,2021,,50.52,,
SCH_0030,2021,9.0,54.01,,
SCH_0054,2023,12.0,,74.03,
SCH_0119,2023,3.0,78.33,90.08,0.0
SCH_0007,2019,8.0,57.76,78.05,0.0
SCH_0012,2020,2.0,,,
SCH_0049,2022,12.0,69.54,,
SCH_0013,2023,12.0,44.38,,
SCH_0027,2021,12.0,85.24,,
SCH_0018,2024,,,,
SCH_0008,2021,,,69.28,
SCH_0013,2023,4.0,79.79,,
SCH_0078,2019,10.0,65.74,97.06,0.0
SCH_0115,2024,3.0,,94.98,
SCH_0086,2022,12.0,74.46,88.08,0.0
SCH_0114,2024,10.0,87.18,,
SCH_0001,2021,8.0,61.4,,
SCH_0090,2020,3.0,,78.56,
SCH_0116,2024,5.0,,,
SCH_0048,2020,5.0,,,
SCH_0087,2021,4.0,56.75,75.29,0.0
SCH_0086,2020,4.0,,,
SCH_0056,2023,5.0,59.88,,
SCH_0047,2021,8.0,53.21,,
SCH_0097,2023,9.0,92.98,69.7,1.0
SCH_0119,2019,7.0,62.31,70.45,1.0
SCH_0016,2020,5.0,59.71,94.92,0.0
SCH_0094,2020,8.0,52.37,,
SCH_0115,2020,7.0,,99.44,
SCH_0115,2022,5.0,,67.26,
SCH_0057,2023,6.0,,93.62,
SCH_0035,2019,11.0,57.48,,
SCH_0111,2019,12.0,,,
SCH_0053,2024,10.0,,91.75,
SCH_0006,2019,4.0,,,
SCH_0089,2019,10.0,80.6,80.68,0.0
SCH_0064,2023,8.0,,83.88,
SCH_0087,2020,3.0,,,
SCH_0015,2019,4.0,,65.78,
SCH_0111,2022,,,62.31,
SCH_0054,2020,12.0,71.64,63.37,1.0
SCH_0035,2022,3.0,58.58,99.68,0.0
SCH_0055,2019,4.0,,,
SCH_0104,2019,1.0,94.6,,
SCH_0025,2022,7.0,75.16,,
SCH_0078,2020,2.0,,,
SCH_0038,2020,1.0,,,
SCH_0118,2020,11.0,44.16,72.28,1.0
SCH_0021,2022,2.0,,,
SCH_0109,2021,,,89.06,
SCH_0098,2021,,,,
SCH_0076,2024,3.0,80.23,,
SCH_0113,2022,1.0,54.26,,
SCH_0038,2019,9.0,,,
SCH_0064,2022,6.0,,,
SCH_0019,2024,7.0,87.04,96.55,0.0
SCH_0108,2021,8.0,45.29,96.44,1.0
SCH_0116,2019,9.0,,,
SCH_0063,2022,8.0,,,
SCH_0048,2019,5.0,,60.42,
SCH_0045,2020,3.0,72.03,72.02,0.0
SCH_0052,2019,3.0,,96.09,
SCH_0091,2022,6.0,83.59,83.61,0.0
SCH_0047,2019,4.0,,,
SCH_0067,2019,8.0,50.79,,
SCH_0014,2021,12.0,,64.19,
SCH_0039,2024,12.0,65.03,,
SCH_0073,2020,9.0,59.89,76.93,0.0
SCH_0061,2023,12.0,57.2,74.31,0.0
SCH_0093,2023,1.0,,97.56,
SCH_0044,2024,5.0,82.91,,
SCH_0057,2023,11.0,,78.36,
SCH_0067,2021,4.0,,66.79,
SCH_0109,2020,9.0,46.01,65.98,1.0
SCH_0009,2022,11.0,64.34,78.43,0.0
SCH_0068,2021,7.0,,70.86,
SCH_0035,2021,5.0,,,
SCH_0104,2019,10.0,,,
SCH_0062,2020,7.0,40.56,89.64,1.0
SCH_0065,2023,6.0,72.85,80.71,0.0
SCH_0015,2019,6.0,,,
SCH_0080,2019,5.0,,88.18,
SCH_0065,2019,10.0,,,
SCH_0065,2020,1.0,,,
SCH_0012,2019,12.0,49.68,63.19,1.0
SCH_0045,2019,,49.64,,
SCH_0053,2020,12.0,,87.5,
SCH_0061,2021,3.0,61.98,,
SCH_0095,2021,1.0,,,
SCH_0034,2023,7.0,82.64,,
SCH_0007,2019,11.0,,78.71,
SCH_0016,2019,3.0,,,
SCH_0038,2024,4.0,,,
SCH_0048,2024,4.0,,,
SCH_0088,2023,10.0,71.31,,
SCH_0096,2020,7.0,51.06,,
SCH_0029,2023,8.0,75.89,,
SCH_0044,2023,9.0,,,
SCH_0059,2022,12.0,43.62,,
SCH_0097,2020,12.0,68.46,60.83,1.0
SCH_0045,2020,10.0,47.23,,
SCH_0017,2023,9.0,,,
SCH_0064,2022,1.0,,,
SCH_0092,2022,3.0,,,
SCH_0013,2023,9.0,,75.47,
SCH_0053,2024,5.0,,,
SCH_0044,2024,10.0,89.61,91.46,0.0
SCH_0036,2023,10.0,92.77,,
SCH_0016,2021,6.0,,,
SCH_0050,2023,6.0,,,
SCH_0057,2024,9.0,,75.67,
SCH_0060,2022,10.0,69.88,,
SCH_0023,2023,5.0,69.45,75.42,0.0
SCH_0074,2024,3.0,63.37,94.86,0.0
SCH_0017,2022,12.0,55.75,70.36,1.0
SCH_0044,2020,2.0,,,
SCH_0020,2021,11.0,45.97,,
SCH_0037,2022,2.0,,,
SCH_0108,2022,,82.34,92.25,0.0
SCH_0069,2019,5.0,,67.42,
SCH_0018,2019,,75.91,,
SCH_0077,2023,1.0,49.07,,
SCH_0088,2021,7.0,,,
SCH_0105,2019,3.0,54.93,,
SCH_0061,2023,9.0,84.06,73.4,0.0
SCH_0015,2023,3.0,52.42,,
SCH_0019,2022,5.0,,,
SCH_0027,2019,1.0,,66.19,
SCH_0111,2020,12.0,,,
SCH_0012,2020,1.0,88.74,,
SCH_0101,2020,3.0,74.43,71.01,1.0
SCH_0112,2023,5.0,40.31,,
SCH_0093,2024,3.0,,79.89,
SCH_0075,2019,8.0,,,
SCH_0041,2022,1.0,,87.66,
SCH_0107,2019,1.0,54.7,86.55,0.0
SCH_0024,2022,5.0,,88.74,
SCH_0041,2020,7.0,76.96,,
SCH_0105,2020,5.0,78.17,,
SCH_0112,2024,8.0,42.1,66.59,1.0
SCH_0033,2022,2.0,42.01,,
SCH_0108,2023,2.0,,89.24,
SCH_0028,2019,3.0,56.06,,
SCH_0012,2024,12.0,90.03,,
SCH_0102,2019,9.0,,,
SCH_0086,2021,10.0,,67.95,
SCH_0040,2020,9.0,,,
SCH_0032,2020,6.0,61.02,,
SCH_0113,2020,12.0,,,
SCH_0076,2023,10.0,,96.17,
SCH_0046,2019,10.0,79.82,74.46,0.0
SCH_0055,2020,9.0,,,
SCH_0069,2023,10.0,,88.07,
SCH_0040,2022,4.0,93.71,71.92,1.0
